Number,Loss,Gain,Probability,Code
Slide1.JPG,0,10,50%,B
Slide2.JPG,0,10,50%,B
Slide3.JPG,0,10,50%,B
Slide4.JPG,-10,0,50%,B
Slide5.JPG,-10,10,50%,B
Slide6.JPG,-10,20,50%,B
Slide7.JPG,-10,30,50%,B
Slide8.JPG,-10,0,50%,B
Slide9.JPG,-10,10,50%,B
Slide10.JPG,-10,20,50%,B
Slide11.JPG,-10,30,50%,B
Slide12.JPG,-10,0,50%,B
Slide13.JPG,-10,10,50%,B
Slide14.JPG,-10,20,50%,B
Slide15.JPG,-10,30,50%,B
Slide16.JPG,-50,40,50%,B
Slide17.JPG,-50,50,50%,B
Slide18.JPG,-50,60,50%,B
Slide19.JPG,-50,70,50%,B
Slide20.JPG,-50,40,50%,B
Slide21.JPG,-50,50,50%,B
Slide22.JPG,-50,60,50%,B
Slide23.JPG,-50,70,50%,B
Slide24.JPG,-50,40,50%,B
Slide25.JPG,-50,50,50%,B
Slide26.JPG,-50,60,50%,B
Slide27.JPG,-50,70,50%,B
Slide28.JPG,-90,80,50%,B
Slide29.JPG,-90,90,50%,B
Slide30.JPG,-90,100,50%,B
Slide31.JPG,-90,80,50%,B
Slide32.JPG,-90,90,50%,B
Slide33.JPG,-90,100,50%,B
Slide34.JPG,-90,180,50%,B
Slide35.JPG,-90,180,50%,B
Slide36.JPG,-10,0,50%,I
Slide37.JPG,-10,10,50%,I
Slide38.JPG,-10,20,50%,I
Slide39.JPG,-10,30,50%,I
Slide40.JPG,-10,0,50%,I
Slide41.JPG,-10,10,50%,I
Slide42.JPG,-10,20,50%,I
Slide43.JPG,-10,30,50%,I
Slide44.JPG,-50,40,50%,I
Slide45.JPG,-50,50,50%,I
Slide46.JPG,-50,60,50%,I
Slide47.JPG,-50,70,50%,I
Slide48.JPG,-50,40,50%,I
Slide49.JPG,-50,50,50%,I
Slide50.JPG,-50,60,50%,I
Slide51.JPG,-50,70,50%,I
Slide52.JPG,-90,80,50%,I
Slide53.JPG,-90,90,50%,I
Slide54.JPG,-90,100,50%,I
Slide55.JPG,-90,80,50%,I
Slide56.JPG,-90,90,50%,I
Slide57.JPG,-90,100,50%,I
Slide58.JPG,-90,180,50%,I
Slide59.JPG,-90,180,50%,I
Slide60.JPG,0,10,50%,G
Slide61.JPG,0,10,50%,G
Slide62.JPG,-10,0,50%,G
Slide63.JPG,-10,10,50%,G
Slide64.JPG,-10,20,50%,G
Slide65.JPG,-10,30,50%,G
Slide66.JPG,-10,0,50%,G
Slide67.JPG,-10,10,50%,G
Slide68.JPG,-10,20,50%,G
Slide69.JPG,-10,30,50%,G
Slide70.JPG,-50,40,50%,G
Slide71.JPG,-50,50,50%,G
Slide72.JPG,-50,60,50%,G
Slide73.JPG,-50,70,50%,G
Slide74.JPG,-50,40,50%,G
Slide75.JPG,-50,50,50%,G
Slide76.JPG,-50,60,50%,G
Slide77.JPG,-50,70,50%,G
Slide78.JPG,-90,80,50%,G
Slide79.JPG,-90,90,50%,G
Slide80.JPG,-90,100,50%,G
Slide81.JPG,-90,80,50%,G
Slide82.JPG,-90,90,50%,G
Slide83.JPG,-90,100,50%,G
Slide84.JPG,-90,180,50%,G
Slide85.JPG,-90,180,50%,G
